d,o,h,l,c,v
2020-05-19 06:00:00,212.41000000,212.68000000,211.85000000,212.22000000,10263.67723000
2020-05-19 06:30:00,212.23000000,212.49000000,211.63000000,211.97000000,8604.94695000
2020-05-19 07:00:00,212.00000000,212.45000000,211.75000000,211.86000000,7457.16239000
2020-05-19 07:30:00,211.85000000,212.20000000,211.25000000,211.50000000,9682.65004000
2020-05-19 08:00:00,211.47000000,215.00000000,211.47000000,214.30000000,37615.62427000
2020-05-19 08:30:00,214.30000000,214.93000000,213.90000000,214.28000000,18062.48556000
2020-05-19 09:00:00,214.26000000,214.55000000,213.60000000,214.40000000,12228.02869000
2020-05-19 09:30:00,214.41000000,214.77000000,213.91000000,214.21000000,13069.87844000
2020-05-19 10:00:00,214.22000000,214.43000000,213.38000000,214.14000000,11471.36851000
2020-05-19 10:30:00,214.14000000,214.35000000,213.69000000,213.83000000,9084.93874000
2020-05-19 11:00:00,213.85000000,215.95000000,213.71000000,214.04000000,28781.47202000
2020-05-19 11:30:00,214.10000000,214.31000000,212.21000000,212.90000000,25872.97583000
2020-05-19 12:00:00,212.90000000,213.09000000,210.59000000,211.77000000,25363.65370000
2020-05-19 12:30:00,211.78000000,212.20000000,210.86000000,211.06000000,19562.17942000
2020-05-19 13:00:00,211.07000000,212.32000000,210.90000000,212.05000000,8583.07620000
2020-05-19 13:30:00,212.05000000,212.55000000,211.11000000,212.27000000,15667.03957000
2020-05-19 14:00:00,212.23000000,212.95000000,212.18000000,212.66000000,8678.12427000
2020-05-19 14:30:00,212.66000000,212.87000000,212.23000000,212.67000000,9054.42576000
2020-05-19 15:00:00,212.67000000,212.68000000,211.55000000,212.43000000,10880.71498000
2020-05-19 15:30:00,212.43000000,212.69000000,211.86000000,212.38000000,6334.13463000
2020-05-19 16:00:00,212.37000000,214.49000000,212.05000000,214.44000000,18373.00012000
2020-05-19 16:30:00,214.42000000,214.49000000,213.26000000,213.62000000,8531.79783000
2020-05-19 17:00:00,213.62000000,213.95000000,212.67000000,212.84000000,7198.10477000
2020-05-19 17:30:00,212.84000000,212.96000000,212.17000000,212.93000000,5571.40076000
2020-05-19 18:00:00,212.93000000,213.39000000,212.76000000,213.19000000,5716.28515000
2020-05-19 18:30:00,213.18000000,213.48000000,213.05000000,213.07000000,5839.83279000
2020-05-19 19:00:00,213.09000000,213.56000000,212.58000000,212.76000000,10071.19254000
2020-05-19 19:30:00,212.77000000,212.90000000,211.40000000,211.50000000,9140.67887000
2020-05-19 20:00:00,211.50000000,211.70000000,210.30000000,211.37000000,19386.46212000
2020-05-19 20:30:00,211.38000000,212.63000000,211.32000000,212.57000000,6495.19033000
2020-05-19 21:00:00,212.58000000,212.75000000,212.20000000,212.67000000,4604.55461000
2020-05-19 21:30:00,212.68000000,213.00000000,211.90000000,212.39000000,6945.45846000
2020-05-19 22:00:00,212.39000000,213.40000000,212.05000000,213.37000000,5849.38380000
2020-05-19 22:30:00,213.34000000,214.00000000,213.02000000,213.20000000,11925.68454000
2020-05-19 23:00:00,213.20000000,213.60000000,212.67000000,213.35000000,8845.28079000
2020-05-19 23:30:00,213.35000000,214.73000000,213.00000000,214.58000000,15410.06466000
2020-05-20 00:00:00,214.60000000,214.76000000,213.95000000,214.02000000,13889.16135000
2020-05-20 00:30:00,214.01000000,214.35000000,213.55000000,213.73000000,8162.99175000
2020-05-20 01:00:00,213.73000000,214.20000000,213.40000000,214.16000000,8244.46464000
2020-05-20 01:30:00,214.16000000,214.60000000,213.87000000,214.00000000,11086.55841000
2020-05-20 02:00:00,214.00000000,214.15000000,213.35000000,213.68000000,6948.14979000
2020-05-20 02:30:00,213.67000000,213.75000000,212.40000000,213.30000000,10588.45383000
2020-05-20 03:00:00,213.30000000,213.77000000,213.06000000,213.62000000,6228.73572000
2020-05-20 03:30:00,213.61000000,213.90000000,212.47000000,212.90000000,13839.08514000
2020-05-20 04:00:00,212.90000000,213.50000000,212.45000000,213.46000000,10218.14193000
2020-05-20 04:30:00,213.47000000,213.55000000,213.04000000,213.30000000,6156.34874000
2020-05-20 05:00:00,213.30000000,213.66000000,213.20000000,213.26000000,4730.35945000
2020-05-20 05:30:00,213.26000000,213.60000000,213.00000000,213.59000000,5004.79314000
2020-05-20 06:00:00,213.56000000,215.75000000,213.39000000,215.16000000,30277.80888000
2020-05-20 06:30:00,215.18000000,215.39000000,211.90000000,212.84000000,39851.57589000
2020-05-20 07:00:00,212.82000000,213.90000000,212.50000000,213.62000000,14623.70211000
2020-05-20 07:30:00,213.65000000,214.20000000,213.30000000,213.36000000,9030.47813000
2020-05-20 08:00:00,213.38000000,214.00000000,212.80000000,213.68000000,11842.12993000
2020-05-20 08:30:00,213.74000000,214.40000000,213.66000000,213.80000000,9646.51596000
2020-05-20 09:00:00,213.80000000,214.14000000,213.60000000,213.71000000,6680.25286000
2020-05-20 09:30:00,213.71000000,214.29000000,213.30000000,214.06000000,7259.11081000
2020-05-20 10:00:00,214.05000000,214.40000000,213.25000000,213.60000000,7453.95764000
2020-05-20 10:30:00,213.61000000,213.70000000,213.10000000,213.43000000,6924.56004000
2020-05-20 11:00:00,213.43000000,213.70000000,212.75000000,212.88000000,8277.73271000
2020-05-20 11:30:00,212.92000000,213.44000000,212.65000000,212.92000000,6586.84806000
2020-05-20 12:00:00,212.92000000,213.60000000,212.90000000,213.59000000,8373.61245000
2020-05-20 12:30:00,213.58000000,214.38000000,213.51000000,213.85000000,11423.18869000
2020-05-20 13:00:00,213.86000000,214.31000000,213.70000000,214.12000000,10507.77534000
2020-05-20 13:30:00,214.12000000,214.50000000,213.85000000,214.50000000,14673.82596000
2020-05-20 14:00:00,214.50000000,214.80000000,213.95000000,214.01000000,10289.83454000
2020-05-20 14:30:00,214.04000000,214.15000000,213.67000000,213.81000000,8369.83123000
